object_id,x,y
C4_central_incision_drainage_1,0.54,0.814
C4_central_incision_drainage_1,0.46,0.814
C4_central_incision_drainage_1,0.459,0.814
C4_central_incision_drainage_1,0.458,0.814
C4_central_incision_drainage_1,0.458,0.815
C4_central_incision_drainage_1,0.458,0.816
C5_central_incision_drainage_1,0.458,0.797
C5_central_incision_drainage_1,0.458,0.816
C5_central_incision_drainage_1,0.458,0.817
C5_central_incision_drainage_1,0.458,0.818
C5_central_incision_drainage_1,0.459,0.818
C5_central_incision_drainage_1,0.46,0.818
C5_central_incision_drainage_1,0.54,0.818
C5_central_incision_drainage_1,0.541,0.818
C5_central_incision_drainage_1,0.542,0.818
C5_central_incision_drainage_1,0.542,0.817
C5_central_incision_drainage_1,0.542,0.816
C5_central_incision_drainage_1,0.542,0.797
C5_central_incision_drainage_1,0.542,0.796
C5_central_incision_drainage_1,0.542,0.795
C5_central_incision_drainage_1,0.541,0.795
C5_central_incision_drainage_1,0.54,0.795
C5_central_incision_drainage_1,0.46,0.795
C5_central_incision_drainage_1,0.459,0.795
C5_central_incision_drainage_1,0.458,0.795
C5_central_incision_drainage_1,0.458,0.796
C5_central_incision_drainage_1,0.458,0.797
C6_central_incision_drainage_1,0.458,0.786
C6_central_incision_drainage_1,0.458,0.797
C6_central_incision_drainage_1,0.458,0.798
C6_central_incision_drainage_1,0.458,0.799
C6_central_incision_drainage_1,0.459,0.799
C6_central_incision_drainage_1,0.46,0.799
C6_central_incision_drainage_1,0.54,0.799
C6_central_incision_drainage_1,0.541,0.799
C6_central_incision_drainage_1,0.542,0.799
C6_central_incision_drainage_1,0.542,0.798
C6_central_incision_drainage_1,0.542,0.797
C6_central_incision_drainage_1,0.542,0.786
C6_central_incision_drainage_1,0.542,0.785
C6_central_incision_drainage_1,0.542,0.784
C6_central_incision_drainage_1,0.541,0.784
C6_central_incision_drainage_1,0.54,0.784
C6_central_incision_drainage_1,0.46,0.784
C6_central_incision_drainage_1,0.459,0.784
C6_central_incision_drainage_1,0.458,0.784
C6_central_incision_drainage_1,0.458,0.785
C6_central_incision_drainage_1,0.458,0.786
C7_central_incision_drainage_1,0.458,0.76
C7_central_incision_drainage_1,0.458,0.779
C7_central_incision_drainage_1,0.458,0.78
C7_central_incision_drainage_1,0.458,0.781
C7_central_incision_drainage_1,0.459,0.781
C7_central_incision_drainage_1,0.46,0.781
C7_central_incision_drainage_1,0.54,0.781
C7_central_incision_drainage_1,0.541,0.781
C7_central_incision_drainage_1,0.542,0.781
C7_central_incision_drainage_1,0.542,0.78
C7_central_incision_drainage_1,0.542,0.779
C7_central_incision_drainage_1,0.542,0.76
C7_central_incision_drainage_1,0.542,0.759
C7_central_incision_drainage_1,0.542,0.758
C7_central_incision_drainage_1,0.541,0.758
C7_central_incision_drainage_1,0.54,0.758
C7_central_incision_drainage_1,0.46,0.758
C7_central_incision_drainage_1,0.459,0.758
C7_central_incision_drainage_1,0.458,0.758
C7_central_incision_drainage_1,0.458,0.759
C7_central_incision_drainage_1,0.458,0.76
L1_central_incision_drainage_1,0.458,0.352
L1_central_incision_drainage_1,0.458,0.383
L1_central_incision_drainage_1,0.458,0.384
L1_central_incision_drainage_1,0.458,0.385
L1_central_incision_drainage_1,0.459,0.385
L1_central_incision_drainage_1,0.46,0.385
L1_central_incision_drainage_1,0.46,0.386
L1_central_incision_drainage_1,0.54,0.386
L1_central_incision_drainage_1,0.54,0.385
L1_central_incision_drainage_1,0.541,0.385
L1_central_incision_drainage_1,0.542,0.385
L1_central_incision_drainage_1,0.542,0.384
L1_central_incision_drainage_1,0.542,0.383
L1_central_incision_drainage_1,0.542,0.352
L1_central_incision_drainage_1,0.542,0.351
L1_central_incision_drainage_1,0.542,0.35
L1_central_incision_drainage_1,0.541,0.35
L1_central_incision_drainage_1,0.54,0.35
L1_central_incision_drainage_1,0.46,0.35
L1_central_incision_drainage_1,0.459,0.35
L1_central_incision_drainage_1,0.458,0.35
L1_central_incision_drainage_1,0.458,0.351
L1_central_incision_drainage_1,0.458,0.352
L2_central_incision_drainage_1,0.458,0.314
L2_central_incision_drainage_1,0.458,0.349
L2_central_incision_drainage_1,0.458,0.35
L2_central_incision_drainage_1,0.458,0.351
L2_central_incision_drainage_1,0.459,0.351
L2_central_incision_drainage_1,0.46,0.351
L2_central_incision_drainage_1,0.46,0.352
L2_central_incision_drainage_1,0.54,0.352
L2_central_incision_drainage_1,0.54,0.351
L2_central_incision_drainage_1,0.541,0.351
L2_central_incision_drainage_1,0.542,0.351
L2_central_incision_drainage_1,0.542,0.35
L2_central_incision_drainage_1,0.542,0.349
L2_central_incision_drainage_1,0.542,0.314
L2_central_incision_drainage_1,0.542,0.313
L2_central_incision_drainage_1,0.542,0.312
L2_central_incision_drainage_1,0.541,0.312
L2_central_incision_drainage_1,0.54,0.312
L2_central_incision_drainage_1,0.46,0.312
L2_central_incision_drainage_1,0.459,0.312
L2_central_incision_drainage_1,0.458,0.312
L2_central_incision_drainage_1,0.458,0.313
L2_central_incision_drainage_1,0.458,0.314
L3_central_incision_drainage_1,0.458,0.278
L3_central_incision_drainage_1,0.458,0.315
L3_central_incision_drainage_1,0.458,0.316
L3_central_incision_drainage_1,0.458,0.317
L3_central_incision_drainage_1,0.459,0.317
L3_central_incision_drainage_1,0.46,0.317
L3_central_incision_drainage_1,0.46,0.318
L3_central_incision_drainage_1,0.54,0.318
L3_central_incision_drainage_1,0.54,0.317
L3_central_incision_drainage_1,0.541,0.317
L3_central_incision_drainage_1,0.542,0.317
L3_central_incision_drainage_1,0.542,0.316
L3_central_incision_drainage_1,0.542,0.315
L3_central_incision_drainage_1,0.542,0.278
L3_central_incision_drainage_1,0.542,0.277
L3_central_incision_drainage_1,0.542,0.276
L3_central_incision_drainage_1,0.541,0.276
L3_central_incision_drainage_1,0.54,0.276
L3_central_incision_drainage_1,0.46,0.276
L3_central_incision_drainage_1,0.459,0.276
L3_central_incision_drainage_1,0.458,0.276
L3_central_incision_drainage_1,0.458,0.277
L3_central_incision_drainage_1,0.458,0.278
L4_central_incision_drainage_1,0.458,0.241
L4_central_incision_drainage_1,0.458,0.274
L4_central_incision_drainage_1,0.458,0.275
L4_central_incision_drainage_1,0.458,0.276
L4_central_incision_drainage_1,0.459,0.276
L4_central_incision_drainage_1,0.46,0.276
L4_central_incision_drainage_1,0.54,0.276
L4_central_incision_drainage_1,0.541,0.276
L4_central_incision_drainage_1,0.542,0.276
L4_central_incision_drainage_1,0.542,0.275
L4_central_incision_drainage_1,0.542,0.274
L4_central_incision_drainage_1,0.542,0.241
L4_central_incision_drainage_1,0.542,0.24
L4_central_incision_drainage_1,0.542,0.239
L4_central_incision_drainage_1,0.541,0.239
L4_central_incision_drainage_1,0.54,0.239
L4_central_incision_drainage_1,0.54,0.238
L4_central_incision_drainage_1,0.46,0.238
L4_central_incision_drainage_1,0.46,0.239
L4_central_incision_drainage_1,0.459,0.239
L4_central_incision_drainage_1,0.458,0.239
L4_central_incision_drainage_1,0.458,0.24
L4_central_incision_drainage_1,0.458,0.241
L5_central_incision_drainage_1,0.458,0.209
L5_central_incision_drainage_1,0.458,0.238
L5_central_incision_drainage_1,0.458,0.239
L5_central_incision_drainage_1,0.458,0.24
L5_central_incision_drainage_1,0.459,0.24
L5_central_incision_drainage_1,0.46,0.24
L5_central_incision_drainage_1,0.54,0.24
L5_central_incision_drainage_1,0.541,0.24
L5_central_incision_drainage_1,0.542,0.24
L5_central_incision_drainage_1,0.542,0.239
L5_central_incision_drainage_1,0.542,0.238
L5_central_incision_drainage_1,0.542,0.209
L5_central_incision_drainage_1,0.542,0.208
L5_central_incision_drainage_1,0.542,0.207
L5_central_incision_drainage_1,0.541,0.207
L5_central_incision_drainage_1,0.54,0.207
L5_central_incision_drainage_1,0.54,0.206
L5_central_incision_drainage_1,0.46,0.206
L5_central_incision_drainage_1,0.46,0.207
L5_central_incision_drainage_1,0.459,0.207
L5_central_incision_drainage_1,0.458,0.207
L5_central_incision_drainage_1,0.458,0.208
L5_central_incision_drainage_1,0.458,0.209
T10_central_incision_drainage_1,0.458,0.465
T10_central_incision_drainage_1,0.458,0.496
T10_central_incision_drainage_1,0.458,0.497
T10_central_incision_drainage_1,0.458,0.498
T10_central_incision_drainage_1,0.459,0.498
T10_central_incision_drainage_1,0.46,0.498
T10_central_incision_drainage_1,0.54,0.498
T10_central_incision_drainage_1,0.541,0.498
T10_central_incision_drainage_1,0.542,0.498
T10_central_incision_drainage_1,0.542,0.497
T10_central_incision_drainage_1,0.542,0.496
T10_central_incision_drainage_1,0.542,0.465
T10_central_incision_drainage_1,0.542,0.464
T10_central_incision_drainage_1,0.542,0.463
T10_central_incision_drainage_1,0.541,0.463
T10_central_incision_drainage_1,0.54,0.463
T10_central_incision_drainage_1,0.54,0.462
T10_central_incision_drainage_1,0.46,0.462
T10_central_incision_drainage_1,0.46,0.463
T10_central_incision_drainage_1,0.459,0.463
T10_central_incision_drainage_1,0.458,0.463
T10_central_incision_drainage_1,0.458,0.464
T10_central_incision_drainage_1,0.458,0.465
T11_central_incision_drainage_1,0.458,0.425
T11_central_incision_drainage_1,0.458,0.463
T11_central_incision_drainage_1,0.458,0.464
T11_central_incision_drainage_1,0.458,0.465
T11_central_incision_drainage_1,0.459,0.465
T11_central_incision_drainage_1,0.46,0.465
T11_central_incision_drainage_1,0.46,0.466
T11_central_incision_drainage_1,0.54,0.466
T11_central_incision_drainage_1,0.54,0.465
