object_id,x,y
C3_central_grade_5_1,0.525,0.87
C3_central_grade_5_1,0.526,0.87
C3_central_grade_5_1,0.527,0.87
C3_central_grade_5_1,0.527,0.869
C3_central_grade_5_1,0.528,0.869
C3_central_grade_5_1,0.529,0.869
C3_central_grade_5_1,0.529,0.868
C3_central_grade_5_1,0.529,0.867
C3_central_grade_5_1,0.53,0.867
C3_central_grade_5_1,0.53,0.866
C3_central_grade_5_1,0.53,0.865
C3_central_grade_5_1,0.53,0.858
C3_central_grade_5_1,0.531,0.858
C3_central_grade_5_1,0.532,0.858
C3_central_grade_5_1,0.532,0.857
C3_central_grade_5_1,0.533,0.857
C3_central_grade_5_1,0.534,0.857
C3_central_grade_5_1,0.534,0.856
C3_central_grade_5_1,0.534,0.855
C3_central_grade_5_1,0.535,0.855
C3_central_grade_5_1,0.535,0.854
C3_central_grade_5_1,0.535,0.853
C3_central_grade_5_1,0.535,0.847
C3_central_grade_5_1,0.535,0.846
C3_central_grade_5_1,0.535,0.845
C3_central_grade_5_1,0.534,0.845
C3_central_grade_5_1,0.534,0.844
C3_central_grade_5_1,0.534,0.843
C3_central_grade_5_1,0.533,0.843
C3_central_grade_5_1,0.532,0.843
C3_central_grade_5_1,0.532,0.842
C3_central_grade_5_1,0.531,0.842
C3_central_grade_5_1,0.53,0.842
C3_central_grade_5_1,0.53,0.841
C3_central_grade_5_1,0.53,0.84
C3_central_grade_5_1,0.529,0.84
C3_central_grade_5_1,0.529,0.839
C3_central_grade_5_1,0.529,0.838
C3_central_grade_5_1,0.528,0.838
C3_central_grade_5_1,0.527,0.838
C3_central_grade_5_1,0.527,0.837
C3_central_grade_5_1,0.526,0.837
C3_central_grade_5_1,0.525,0.837
C3_central_grade_5_1,0.475,0.837
C3_central_grade_5_1,0.474,0.837
C3_central_grade_5_1,0.473,0.837
C3_central_grade_5_1,0.473,0.838
C3_central_grade_5_1,0.472,0.838
C3_central_grade_5_1,0.471,0.838
C3_central_grade_5_1,0.471,0.839
C3_central_grade_5_1,0.471,0.84
C3_central_grade_5_1,0.47,0.84
C3_central_grade_5_1,0.47,0.841
C3_central_grade_5_1,0.47,0.842
C3_central_grade_5_1,0.469,0.842
C3_central_grade_5_1,0.468,0.842
C3_central_grade_5_1,0.468,0.843
C3_central_grade_5_1,0.467,0.843
C3_central_grade_5_1,0.466,0.843
C3_central_grade_5_1,0.466,0.844
C3_central_grade_5_1,0.466,0.845
C3_central_grade_5_1,0.465,0.845
C3_central_grade_5_1,0.465,0.846
C3_central_grade_5_1,0.465,0.847
C3_central_grade_5_1,0.465,0.853
C3_central_grade_5_1,0.465,0.854
C3_central_grade_5_1,0.465,0.855
C3_central_grade_5_1,0.466,0.855
C3_central_grade_5_1,0.466,0.856
C3_central_grade_5_1,0.466,0.857
C3_central_grade_5_1,0.467,0.857
C3_central_grade_5_1,0.468,0.857
C3_central_grade_5_1,0.468,0.858
C3_central_grade_5_1,0.469,0.858
C3_central_grade_5_1,0.47,0.858
C3_central_grade_5_1,0.47,0.865
C3_central_grade_5_1,0.47,0.866
C3_central_grade_5_1,0.47,0.867
C3_central_grade_5_1,0.471,0.867
C3_central_grade_5_1,0.471,0.868
C3_central_grade_5_1,0.471,0.869
C3_central_grade_5_1,0.472,0.869
C3_central_grade_5_1,0.473,0.869
C3_central_grade_5_1,0.473,0.87
C3_central_grade_5_1,0.474,0.87
C3_central_grade_5_1,0.475,0.87
C3_left_grade_1_1,0.473,0.844
C3_left_grade_1_1,0.49,0.844
C3_left_grade_1_1,0.49,0.834
C3_left_grade_1_1,0.473,0.844
C3_right_grade_1_1,0.527,0.844
C3_right_grade_1_1,0.51,0.844
C3_right_grade_1_1,0.51,0.834
C3_right_grade_1_1,0.527,0.844
C4_central_grade_2_1,0.474,0.828
C4_central_grade_2_1,0.491,0.818
C4_central_grade_2_1,0.509,0.818
C4_central_grade_2_1,0.526,0.828
C4_central_grade_2_1,0.527,0.828
C4_central_grade_2_1,0.528,0.828
C4_central_grade_2_1,0.528,0.827
C4_central_grade_2_1,0.529,0.827
C4_central_grade_2_1,0.529,0.826
C4_central_grade_2_1,0.529,0.816
C4_central_grade_2_1,0.529,0.815
C4_central_grade_2_1,0.528,0.815
C4_central_grade_2_1,0.528,0.814
C4_central_grade_2_1,0.527,0.814
C4_central_grade_2_1,0.473,0.814
C4_central_grade_2_1,0.472,0.814
C4_central_grade_2_1,0.472,0.815
C4_central_grade_2_1,0.471,0.815
C4_central_grade_2_1,0.471,0.816
C4_central_grade_2_1,0.471,0.826
C4_central_grade_2_1,0.471,0.827
C4_central_grade_2_1,0.472,0.827
C4_central_grade_2_1,0.472,0.828
C4_central_grade_2_1,0.473,0.828
C4_central_grade_2_1,0.474,0.828
C4_central_grade_3_1,0.47,0.823
C4_central_grade_3_1,0.469,0.823
C4_central_grade_3_1,0.468,0.823
C4_central_grade_3_1,0.468,0.824
C4_central_grade_3_1,0.467,0.824
C4_central_grade_3_1,0.466,0.824
C4_central_grade_3_1,0.466,0.825
C4_central_grade_3_1,0.466,0.826
C4_central_grade_3_1,0.465,0.826
C4_central_grade_3_1,0.465,0.827
C4_central_grade_3_1,0.465,0.828
C4_central_grade_3_1,0.465,0.834
C4_central_grade_3_1,0.465,0.835
C4_central_grade_3_1,0.465,0.836
C4_central_grade_3_1,0.466,0.836
C4_central_grade_3_1,0.466,0.837
C4_central_grade_3_1,0.466,0.838
C4_central_grade_3_1,0.467,0.838
C4_central_grade_3_1,0.468,0.838
C4_central_grade_3_1,0.468,0.839
C4_central_grade_3_1,0.469,0.839
C4_central_grade_3_1,0.47,0.839
C4_central_grade_3_1,0.47,0.847
C4_central_grade_3_1,0.47,0.848
C4_central_grade_3_1,0.47,0.849
C4_central_grade_3_1,0.471,0.849
C4_central_grade_3_1,0.471,0.85
C4_central_grade_3_1,0.471,0.851
C4_central_grade_3_1,0.472,0.851
C4_central_grade_3_1,0.473,0.851
C4_central_grade_3_1,0.473,0.852
C4_central_grade_3_1,0.474,0.852
C4_central_grade_3_1,0.475,0.852
C4_central_grade_3_1,0.525,0.852
C4_central_grade_3_1,0.526,0.852
C4_central_grade_3_1,0.527,0.852
C4_central_grade_3_1,0.527,0.851
C4_central_grade_3_1,0.528,0.851
C4_central_grade_3_1,0.529,0.851
C4_central_grade_3_1,0.529,0.85
C4_central_grade_3_1,0.529,0.849
C4_central_grade_3_1,0.53,0.849
C4_central_grade_3_1,0.53,0.848
C4_central_grade_3_1,0.53,0.847
C4_central_grade_3_1,0.53,0.839
C4_central_grade_3_1,0.531,0.839
C4_central_grade_3_1,0.532,0.839
C4_central_grade_3_1,0.532,0.838
C4_central_grade_3_1,0.533,0.838
C4_central_grade_3_1,0.534,0.838
C4_central_grade_3_1,0.534,0.837
C4_central_grade_3_1,0.534,0.836
C4_central_grade_3_1,0.535,0.836
C4_central_grade_3_1,0.535,0.835
C4_central_grade_3_1,0.535,0.834
C4_central_grade_3_1,0.535,0.828
C4_central_grade_3_1,0.535,0.827
C4_central_grade_3_1,0.535,0.826
C4_central_grade_3_1,0.534,0.826
C4_central_grade_3_1,0.534,0.825
C4_central_grade_3_1,0.534,0.824
C4_central_grade_3_1,0.533,0.824
C4_central_grade_3_1,0.532,0.824
C4_central_grade_3_1,0.532,0.823
C4_central_grade_3_1,0.531,0.823
C4_central_grade_3_1,0.53,0.823
C4_central_grade_3_1,0.53,0.822
C4_central_grade_3_1,0.529,0.822
C4_central_grade_3_1,0.529,0.821
C4_central_grade_3_1,0.529,0.82
C4_central_grade_3_1,0.528,0.82
C4_central_grade_3_1,0.527,0.82
C4_central_grade_3_1,0.527,0.819
C4_central_grade_3_1,0.526,0.819
C4_central_grade_3_1,0.525,0.819
C4_central_grade_3_1,0.475,0.819
C4_central_grade_3_1,0.474,0.819
C4_central_grade_3_1,0.473,0.819
C4_central_grade_3_1,0.473,0.82
C4_central_grade_3_1,0.472,0.82
C4_central_grade_3_1,0.471,0.82
C4_central_grade_3_1,0.471,0.821
C4_central_grade_3_1,0.471,0.822
C4_central_grade_3_1,0.47,0.822
C4_central_grade_3_1,0.47,0.823
